timestamp_utc,symbol,side,grade,score,price,rsi_15m,rsi_1h,change_24h_percent,quote_volume_24h,vol_1m,vol_5m,vol_15m,vol_60m,net_vol_1m,net_vol_15m,net_vol_60m,ping_count_24h
2025-11-16T12:02:46.388402,DCRUSDT,BUY,✅ Good,7,36.34,52.64536406495549,55.662472242783124,16.362,13838252.399,15.57,170.62,165.65,170.62,15.57,1529.0589999999997,15894.948,0
2025-11-16T12:57:18.023814,ZENUSDT,BUY,🔥 Strong,8,14.362,44.51772464962901,53.30640017010419,3.005,65494506.56105,1192.21,30809.11,96356.63,207964.97,1192.21,207964.97,374429.68,0
2025-11-16T13:13:46.343556,DUSKUSDT,BUY,🚀 Very Strong,10,0.0579,53.35365853658544,55.07246376811594,2.297,1782511.5508,221892.0,489715.0,710684.0,710684.0,221892.0,682767.0,2385129.0,1
2025-11-16T13:24:34.546643,KITEUSDT,BUY,✅ Good,7,0.0857,60.0,40.528634361233465,5.419,92178882.81758,660214.6,9793040.6,21774060.4,45261443.0,-660214.6,38962263.7,98856881.8,0
2025-11-16T13:57:54.675218,SAHARAUSDT,BUY,🚀 Very Strong,11,0.0792,61.70212765957441,63.32179930795847,2.365,1047875.44197,37126.0,90320.0,568166.0,2004572.0,37126.0,2004572.0,1409953.0,1
2025-11-16T14:17:07.335365,BANKUSDT,BUY,🔥 Strong,8,0.054,45.45454545454546,34.482758620689665,-2.703,8385901.9478,80976.6,4686852.5,4686852.5,5867577.3,-80976.6,9140678.8,25469408.500000004,0
2025-11-16T14:34:21.033944,KITEUSDT,BUY,✅ Good,7,0.0857,59.722222222222214,34.46601941747569,3.753,97795148.64348,346524.6,4875491.2,4874880.0,50927997.6,346524.6,74279632.19999999,164020768.4,1
2025-11-16T14:58:08.387820,DUSKUSDT,BUY,🔥 Strong,8,0.0582,55.38461538461538,54.54545454545455,3.191,1814502.93,40760.0,49960.0,846052.0,2065679.0,40760.0,1473719.0,4130246.0,2
2025-11-16T15:07:48.586391,WLFIUSDT,BUY,✅ Good,7,0.1472,69.79865771812074,52.77777777777777,2.01,24511555.32947,263826.6,1358858.0,3040967.2,3040967.2,263826.6,7365424.3,24508220.0,1
2025-11-16T15:17:57.225374,SFPUSDT,BUY,✅ Good,7,0.3605,56.79012345679011,39.92932862190811,6.91,1833175.3329,11286.0,16879.0,16879.0,24133.0,11286.0,132509.0,20939.0,1
2025-11-16T15:36:49.845342,SCRTUSDT,BUY,🚀 Very Strong,9,0.1895,57.711442786069675,61.23147092360322,5.676,2806568.37406,60854.0,240178.0,485788.6,1087221.5,60854.0,1263794.4,5046638.699999999,1
2025-11-16T15:39:32.826646,NEIROUSDT,BUY,✅ Good,7,0.00013918,49.488054607508644,44.95548961424335,-3.414,5587309.3500724,20101792.0,3200616191.0,3452083016.0,5428631414.0,-20101792.0,4829036540.0,5723409271.0,0
2025-11-16T15:43:28.608277,BANKUSDT,BUY,✅ Good,7,0.0559,52.736318407960205,42.229729729729726,2.947,8548957.09631,84412.3,296461.9,3607621.5,7469862.8,84412.3,4180586.8,42328446.1,2
2025-11-16T15:59:18.761868,BFUSDUSDT,BUY,🔥 Strong,8,1.0,28.57142857142857,39.62264150943396,0.0,8386578.6861,862.0,396725.0,722952.0,786859.0,862.0,786859.0,1588658.0,0
2025-11-16T16:24:36.911163,DUSKUSDT,BUY,✅ Good,7,0.0604,51.41388174807199,54.95495495495497,8.438,2469502.3306,9555.0,359723.0,1113097.0,3537585.0,9555.0,2133861.0,16821810.0,3
2025-11-16T16:29:02.761244,API3USDT,BUY,✅ Good,7,0.5929,43.07511737089196,54.119910227637035,4.457,5939239.818657,0.0,43836.92,633592.85,788306.21,0.0,779281.0599999999,353594.8599999999,0
2025-11-16T17:08:49.305837,SIGNUSDT,BUY,✅ Good,7,0.03821,55.345911949685664,46.30396215257245,4.001,1885194.0281,16450.0,78330.0,121660.0,121660.0,16450.0,197666.0,997434.0,1
2025-11-16T17:09:35.232236,BFUSDUSDT,BUY,🚀 Very Strong,9,1.0001,43.75,39.325842696629216,0.01,10282586.3238,0.0,1010037.0,1010242.0,1010242.0,0.0,970368.0,3327779.0,0
2025-11-16T17:10:59.029891,BANKUSDT,BUY,🔥 Strong,8,0.0583,48.235294117647115,57.10455764075068,7.792,9202079.52518,1390450.5,1389740.5,6974246.3,6974956.3,-1390450.5,8521266.6,16205824.3,2
2025-11-16T18:01:48.209071,STOUSDT,BUY,✅ Good,7,0.1677,54.901960784313694,37.49999999999997,-1.815,1712758.13011,3152.8,10226.8,9574.3,10226.8,3152.8,94304.6,1994863.1,0
2025-11-16T18:03:25.161689,MORPHOUSDT,BUY,🔥 Strong,8,2.022,54.21686746987961,43.90243902439013,0.547,1708394.11547,1512.21,15723.27,15657.55,15723.27,1512.21,46312.2,316252.58,0
2025-11-16T18:19:07.290168,BROCCOLI714USDT,BUY,🚀 Very Strong,9,0.01757,66.74786845310591,49.33774834437083,0.114,2429705.58155,1373.0,6149921.0,6149921.0,15468222.0,1373.0,16040587.0,26049638.0,0
2025-11-16T18:37:15.705485,SIGNUSDT,BUY,✅ Good,7,0.03927,58.06675938803887,47.307893361212784,5.565,2100010.72667,2792.0,427761.0,2520737.0,5955580.0,2792.0,6463276.0,7448575.0,1
2025-11-16T19:44:29.010692,PENDLEUSDT,BUY,✅ Good,7,2.397,50.62648154419232,60.83916083916083,2.043,14536482.0819,253.7,3332.6,10619.0,52206.7,253.7,30996.3,2686280.0000000005,0
